customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,total_claim_amount
6846,62535,95,13,20,5,456
3342,12859,91,8,60,1,436
18767,50812,111,13,55,2,900
2432,28519,61,9,94,1,111
16172,64388,68,9,46,2,12
2864,93261,109,2,8,1,1145
6265,66395,84,35,25,4,481
5297,66203,66,15,38,8,130
3459,42260,96,6,8,1,460
2921,71969,80,10,81,1,739
5926,85112,84,19,26,4,403
6005,26876,76,17,72,8,364
5775,18889,76,20,17,6,784
6057,27681,83,13,62,9,398
2576,26854,66,31,70,1,475
5181,97131,64,32,80,6,307
4762,36529,118,6,41,1,255
2582,76731,64,2,68,1,201
2616,72302,66,6,27,1,316
8291,85132,106,0,60,3,501
10828,11033,97,27,18,2,511
5225,67423,65,24,0,9,293
2693,29038,69,14,61,1,56
4213,12160,109,5,34,1,489
2436,59196,67,16,92,1,399
7054,22566,207,32,96,1,1490
21123,35831,69,15,9,2,496
2695,32720,67,13,12,1,321
5674,26225,72,18,25,7,320
3837,23051,99,31,86,1,475
13755,15340,121,12,47,2,686
2758,22158,74,8,92,1,355
2772,37038,71,6,97,1,9
9048,34234,119,6,8,3,571
3508,23629,88,15,81,1,633
2619,78618,66,7,56,1,225
8581,66466,71,20,35,2,293
9114,85942,116,16,36,5,79
3301,92350,89,10,83,1,427
4786,45515,61,10,33,9,236
20957,17663,118,29,45,2,566
4874,61497,68,10,36,7,609
4931,37395,73,17,47,3,525
2989,51672,83,23,11,1,398
7457,65630,69,15,73,2,678
2633,21861,69,3,11,1,348
2242,63671,65,18,48,1,85
2464,31056,63,5,46,1,302
2553,73935,64,13,29,1,72
2864,57435,109,27,8,1,1145
5887,62773,73,19,57,9,80
7675,89586,63,28,40,2,302
3895,35970,98,29,81,1,470
5719,54585,71,33,39,3,340
7350,62701,108,7,54,4,777
23706,82010,96,12,35,2,844
2404,45949,62,0,70,1,110
5633,90289,71,9,10,3,22
6403,28095,82,18,2,8,393
2803,23220,74,3,73,1,251
5470,54507,138,20,11,1,702
6005,13528,86,32,35,3,412
5678,51079,76,8,44,3,364
7902,67184,106,21,25,9,634
7689,82254,73,3,73,2,617
7743,96961,64,24,99,2,81
4170,29462,107,28,23,1,513
10004,34460,89,35,55,2,640
3265,25820,82,10,69,1,393
3351,29160,87,25,62,1,417
4815,80355,62,26,33,3,83
27430,49331,138,3,58,2,386
6990,22568,88,31,63,6,422
10978,92914,136,24,55,8,979
9490,86378,137,34,77,4,657
6035,29587,76,25,4,3,422
7268,24445,63,18,15,2,302
16468,18188,63,4,52,2,685
5563,35398,71,26,41,7,340
5251,41991,67,14,75,3,88
7098,68010,70,18,99,2,349
3810,65454,108,7,57,1,777
2729,66900,68,15,20,1,326
5364,53562,135,24,35,1,589
8304,47083,122,22,14,9,681
11281,86195,139,12,10,3,601
4349,75648,108,11,10,1,112
8673,43963,110,25,59,7,528
2679,84450,68,18,12,1,291
16706,63933,70,35,98,2,424
9783,32303,136,33,21,5,979
2379,17041,67,16,90,1,494
5570,85718,139,4,98,1,540
4538,82297,116,24,62,1,0
10477,45259,138,1,27,4,272
5536,52220,70,17,42,5,336
3861,93272,95,3,54,1,281
5325,78991,73,17,44,7,496
36229,22220,105,29,46,2,22
2487,22331,64,11,12,1,61
2725,36650,69,2,70,1,56
29412,58083,107,0,62,2,513
12941,52369,110,34,49,2,528
2436,11521,65,34,84,1,149
7295,34062,91,23,51,3,603
4165,88745,116,2,97,1,556
13599,22775,184,6,10,3,883
7462,70263,93,30,66,5,7
13502,57222,112,3,88,2,297
31803,25663,114,20,89,2,663
7716,37376,99,28,52,3,65
2427,24409,62,4,13,1,297
3531,26884,89,11,84,1,238
5161,23136,70,6,24,6,469
8132,36737,102,13,20,8,512
9657,12347,131,34,61,9,628
7199,63328,89,19,19,9,427
5894,39381,74,6,55,7,355
3223,15167,91,35,12,1,655
9414,20455,84,14,40,2,564
2450,61883,62,11,62,1,18
5522,85609,136,22,17,1,652
17556,36212,73,25,57,2,119
8997,54230,112,10,21,9,537
4510,84300,111,13,0,1,202
16261,41671,136,15,30,2,570
6864,96832,85,19,23,3,408
2254,47511,65,6,51,1,312
18039,41065,63,28,82,2,503
17625,77803,63,30,18,2,217
3907,69393,109,2,8,1,666
8693,17453,118,12,70,9,566
3531,37018,98,23,46,1,958
2310,89791,64,12,24,1,460
18269,44940,127,18,97,2,609
2728,40516,70,9,75,1,336
7834,36094,99,28,50,5,456
2552,35149,64,26,33,1,120
3007,44450,80,31,67,1,16
5320,32116,132,10,42,1,277
19884,63755,62,28,40,2,291
3738,27208,102,10,65,1,489
3873,28142,105,18,50,1,701
24127,14072,71,13,3,2,511
8418,86983,115,21,62,9,552
8370,77512,104,2,5,6,433
2393,51182,70,24,10,1,425
8688,59098,110,31,73,3,665
3491,26405,104,30,88,1,748
8355,49564,105,8,29,5,661
34611,20090,109,10,59,2,523
3829,19240,99,25,69,1,475
7540,31970,68,24,42,2,519
7258,88082,61,10,45,2,218
3059,54663,88,5,85,1,989
5406,27166,71,29,51,5,340
16675,57844,85,16,31,2,408
5802,97541,72,22,1,3,389
18690,65920,68,6,94,2,326
5971,52018,78,17,37,7,374
5097,50998,74,3,95,7,532
23594,76358,66,25,3,2,86
2444,83800,62,11,44,1,196
6264,32485,89,5,16,3,850
4038,13862,110,2,59,1,528
8639,62082,72,15,57,2,91
23554,31157,100,23,49,2,444
4358,86001,109,6,27,1,523
2519,31030,67,11,26,1,482
5583,32403,71,31,47,9,97
23895,58179,98,0,57,2,705
2335,22087,61,29,3,1,292
13865,53484,70,12,12,2,333
4686,58089,118,31,83,1,566
3323,70410,83,25,13,1,131
5480,58651,71,6,95,3,472
3167,63203,92,20,50,1,662
11009,51643,283,16,43,1,1358
2379,69202,61,33,12,1,292
13211,74656,111,0,6,2,504
16909,65620,213,16,0,4,766
4846,25663,72,31,75,9,518
12663,72109,105,5,34,2,504
5785,31320,72,30,95,5,293
8838,82664,114,24,10,9,133
8201,81785,67,12,44,2,321
3939,60021,99,12,28,1,882
2602,41958,66,15,49,1,206
21423,52905,65,9,31,2,312
5569,53565,71,27,34,6,340
31269,90289,99,4,88,2,164
5544,79619,71,3,34,6,280
3311,21246,83,19,51,1,398
4617,41167,118,16,4,1,554
2570,69446,64,23,32,1,26
5387,97316,67,13,18,7,309
6689,56980,84,33,70,7,599
2759,64388,69,13,51,1,331
6863,25352,173,10,65,1,830
9585,26432,88,19,89,2,422
20003,33901,84,11,19,2,145
4170,90310,104,9,39,1,166
18504,91268,229,32,62,5,737
2534,21606,71,21,22,1,340
5345,55571,135,4,46,1,904
9807,88278,135,19,48,4,970
8555,81611,81,6,49,2,583
8581,66466,71,20,35,2,293
10094,32046,127,28,23,4,475
5553,96587,138,31,99,1,749
4595,54799,64,16,62,6,460
9075,37722,116,8,23,8,158
9384,25370,116,21,64,3,556
6369,34498,83,30,72,7,398
23813,88680,66,5,66,2,201
6418,46648,81,8,26,7,123
34931,35005,295,14,46,2,1416
5811,58643,74,33,58,3,329
12655,26149,157,2,17,7,753
9384,30347,133,7,42,4,957
5332,68931,66,32,30,7,309
16468,95954,63,4,52,2,685
5479,56005,68,31,30,3,326
5666,53907,71,1,52,9,189
2462,25726,69,9,68,1,427
2719,14030,72,11,3,1,345
3832,15192,100,1,7,1,480
8596,25785,112,8,22,4,537
8370,33409,105,19,17,7,553
5182,44820,133,12,62,1,336
5206,21594,71,16,23,3,340
4969,62365,62,0,99,8,297
9764,93535,98,24,11,2,705
12731,40870,105,3,56,2,504
4078,40627,116,18,86,1,835
8417,24285,111,6,10,7,1257
7350,69241,93,2,63,3,111
7582,64801,64,19,19,2,268
2808,55005,70,31,39,1,336
9095,37937,116,3,42,5,556
17793,10495,118,26,43,2,1118
6291,89113,78,18,68,8,219
4745,52687,63,23,88,3,523
4250,89133,61,17,1,7,292
12625,79421,104,23,85,2,115
3096,21604,79,14,28,1,379
5504,69638,73,18,45,5,350
2121,96089,62,11,45,1,446
6179,96982,86,12,96,8,412
14084,28741,208,22,92,3,2270
5224,83389,65,5,57,3,209
4729,29414,64,2,32,3,71
4731,30686,61,22,45,3,19
10129,65209,68,34,31,2,326
8054,75531,102,2,13,4,489
5267,39722,133,9,62,1,638
7325,52920,93,18,95,3,1101
2752,81280,68,6,47,1,308
18591,14209,62,34,36,2,297
2933,48810,83,2,62,1,199
4849,36413,61,21,76,3,153
6285,86622,172,5,33,1,825
4344,93164,63,22,27,4,462
7516,31477,94,22,77,3,146
2388,35860,65,8,5,1,455
4590,28354,118,33,20,1,320
5770,49376,83,21,67,8,946
27789,33806,89,32,59,2,395
7988,58268,67,12,82,2,228
8743,99517,109,2,93,3,239
8703,61897,72,7,79,2,3
15467,77517,129,19,20,2,98
21590,62477,183,7,75,2,40
3008,80681,74,31,12,1,355
8408,84091,105,18,48,9,380
9124,99368,113,34,6,3,82
7374,44117,110,19,87,3,528
2551,79751,63,15,67,1,392
10408,20228,101,3,43,2,523
2483,75615,65,22,39,1,156
5332,68931,66,3,30,7,309
9095,37937,116,28,42,5,556
8481,67197,74,13,18,2,275
7785,44897,99,22,46,7,580
5442,25884,69,18,36,9,292
9322,70435,116,0,50,4,67
7582,64801,64,23,19,2,268
2587,27861,65,22,67,1,312
4831,23228,64,4,0,6,307
3730,75132,93,7,33,1,446
7536,69674,62,14,18,2,297
3884,86489,114,35,9,1,851
2916,85210,74,23,76,1,100
5050,90784,69,16,45,6,72
3945,25504,105,2,54,1,933
6622,80979,84,32,27,3,25
17109,87139,213,18,27,3,363
2721,22885,73,20,46,1,386
9661,96472,135,5,98,9,648
6991,19019,186,7,46,1,1003
6165,78375,88,12,54,6,653
13355,34495,113,27,29,2,389
4984,86305,62,1,99,5,80
5234,91070,73,7,60,3,794
5524,70360,69,0,66,8,331
8100,89420,67,3,83,2,212
4741,28013,65,2,73,8,731
4739,31766,76,28,55,3,38
8595,94242,71,35,7,2,41
8750,34695,113,1,60,5,100
5960,47945,74,32,39,3,128
6439,47412,81,10,39,7,421
21850,48107,190,6,34,2,912
20395,92850,104,3,28,2,499
22500,22229,71,1,23,2,340
4335,86096,108,30,1,1,518
5450,76389,68,5,86,7,262
7472,44385,97,6,31,7,465
4860,25854,68,24,37,9,396
5239,27978,69,3,21,7,447
7292,72014,98,3,70,8,470
5928,40531,74,17,32,9,30
6277,21024,82,32,8,9,450
31516,51385,125,23,4,2,626
5207,21952,66,20,31,6,316
11960,52436,76,3,38,2,109
7955,82057,69,11,5,2,331
8485,32607,111,27,79,8,532
8109,32314,68,17,77,2,326
14230,78046,119,22,91,2,759
2249,56271,62,6,2,1,297
22986,84831,192,13,37,2,1336
12357,22134,182,4,34,5,1953
5789,77221,71,2,49,7,259
35013,75461,133,14,85,2,532
6988,22436,89,24,21,3,427
7228,25926,61,28,68,2,292
4669,76157,116,15,80,1,556
2433,87893,72,28,29,1,345
17441,80969,217,1,80,3,1041
2030,65970,64,0,8,1,731
6732,68947,62,10,31,2,446
5158,25963,66,11,35,9,298
6371,23797,81,10,57,3,388
3538,58279,67,12,67,7,321
5764,40238,73,17,88,9,350
9343,75909,117,23,77,3,561
2248,24910,63,14,63,1,347
4250,18957,61,17,1,7,292
4966,82989,73,9,83,6,525
4984,86305,62,1,99,5,80
8622,97361,73,6,85,2,350
20477,58317,73,0,56,2,350
2545,29250,64,27,30,1,308
4772,20993,133,35,90,1,638
4379,47747,111,31,76,1,165
2592,72421,65,8,23,1,312
9012,67840,112,34,56,5,83
6411,13088,82,29,77,3,393
9007,41539,116,11,35,3,556
7304,41025,92,22,92,6,20
9468,57186,88,6,47,2,633
17793,61785,118,26,43,2,1118
11638,25370,102,10,77,2,489
2536,34653,64,18,72,1,307
5294,61687,67,13,17,3,120
5847,23496,77,17,88,8,13
7689,29840,73,3,73,2,617
10700,75313,89,23,64,2,527
5067,89703,126,6,54,1,601
14024,81872,115,10,55,2,256
2287,69024,61,27,32,1,238
13024,26312,110,1,19,2,565
7228,53214,91,21,76,3,436
34090,51840,94,10,75,2,33
7618,41900,63,0,34,2,170
4811,14827,68,34,37,6,619
2639,69819,66,24,20,1,21
4344,48054,109,2,64,1,523
2471,65176,62,24,32,1,297
6798,32517,94,11,53,3,451
8658,62464,109,23,45,4,400
2754,79507,70,5,17,1,442
4115,52405,103,2,27,1,494
4491,62987,63,16,5,5,302
6575,10517,92,14,65,3,441
10506,37934,137,2,58,8,385
2861,90083,71,23,47,1,181
8622,97361,73,6,85,2,350
9095,37937,116,11,42,5,556
5498,22520,73,17,64,3,350
4742,63891,119,13,13,1,7
4377,44920,64,14,25,8,460
14024,81872,115,10,55,2,256
5006,61454,71,16,4,5,358
20496,12676,64,3,72,2,307
25805,86901,72,24,73,2,313
3359,97576,83,1,49,1,544
8346,40105,104,21,26,3,878
34931,35005,295,14,46,2,1416
3723,31974,92,25,77,1,388
2602,28995,67,28,42,1,321
9787,10475,88,13,81,2,422
12128,20495,61,7,36,2,292
2594,56893,73,8,34,1,350
8068,51584,69,11,98,2,368
4386,10621,67,28,22,5,321
3733,21542,97,13,21,1,465
31706,50719,131,33,79,2,870
7107,70969,61,2,15,2,541
41745,45431,116,23,81,2,556
9011,88708,112,6,71,9,499
4665,88592,62,26,62,3,297
10856,37233,136,29,91,5,242
2534,94003,64,14,39,1,307
9403,56410,117,13,73,3,523
2724,28097,77,15,31,1,404
7229,60345,93,22,10,5,36
3187,51079,85,10,29,1,595
8681,97683,86,6,57,2,541
4481,14100,69,1,25,4,232
2808,55005,70,31,39,1,336
4307,73345,107,22,62,1,513
5424,67414,68,7,37,8,148
4466,28663,61,15,8,7,292
16313,77978,69,21,86,2,331
7998,26487,112,0,82,3,602
19190,39034,68,10,55,2,466
4202,74057,105,12,75,1,632
11830,92931,146,6,38,7,503
14435,60880,119,25,89,2,109
15771,21921,206,14,44,3,1254
7579,33906,64,25,49,2,401
4351,74163,108,9,63,1,518
5562,59649,69,33,71,8,167
4349,90893,110,33,0,1,700
5580,31972,70,4,89,3,416
7507,60920,64,10,61,2,231
7452,56650,106,5,32,4,763
12515,75285,63,35,15,2,577
2656,62777,67,34,32,1,101
7099,16121,65,5,85,2,312
7507,60920,64,10,61,2,231
5700,26811,72,22,82,3,465
12807,38664,69,32,21,2,450
39400,33046,181,22,96,2,868
2537,18932,69,9,89,1,331
2242,31793,63,31,99,1,453
8110,76879,101,20,44,5,487
6656,44757,69,23,32,2,496
7644,26526,99,0,86,3,523
9277,71416,116,10,0,3,556
9427,27824,118,32,9,8,566
24178,43704,201,29,67,2,1064
2372,25550,61,28,13,1,439
2777,59124,70,18,31,1,173
5498,22520,73,17,64,3,350
5511,79027,70,13,37,5,336
4969,62365,62,0,99,8,297
2453,83772,62,13,76,1,42
4916,66982,121,12,13,1,871
20239,36116,171,27,33,2,158
7215,97464,103,25,80,9,741
36057,90330,137,0,86,2,192
10714,55994,92,19,75,2,441
8002,36636,107,3,65,3,513
2447,84658,62,21,93,1,44
2411,54483,61,6,57,1,292
5720,41770,72,0,60,9,476
4980,21135,130,14,59,1,678
4016,69322,111,4,85,1,799
6243,57734,78,2,64,3,374
4524,28228,65,30,59,3,490
8281,19189,108,21,9,3,518
2435,25703,62,4,64,1,297
4253,87629,62,13,8,5,446
2885,92722,72,34,45,1,28
3708,23393,95,26,37,1,456
5705,34254,74,2,34,9,432
28486,91871,102,22,3,2,346
8966,41829,76,11,41,2,416
5394,27568,68,0,62,3,278
2515,25558,63,31,11,1,453
4929,85648,70,25,21,6,837
2274,16252,65,21,40,1,468
1918,68633,61,1,54,1,439
2639,88731,66,10,72,1,148
4869,55593,61,13,52,3,9
25640,24695,168,5,83,2,806
2859,51790,71,12,43,1,340
4878,29950,61,0,76,4,292
2617,98338,65,13,33,1,35
20946,69738,74,2,26,2,492
4462,91678,73,35,52,5,350
3964,23474,102,5,21,1,489
4921,24994,70,28,29,8,336
4916,83161,67,17,21,4,321
28799,33635,240,1,23,2,1152
11365,84910,95,4,69,2,383
5070,31833,69,8,24,6,331
4896,91329,139,5,29,1,1000
5626,59782,70,29,51,9,336
2614,65186,65,15,27,1,5
2540,70125,64,21,77,1,92
8595,28441,73,10,98,2,686
4858,19386,67,0,79,3,482
8558,13908,116,12,74,8,804
2647,37876,69,13,15,1,300
8247,49009,105,17,28,7,504
4443,46384,113,33,93,1,251
9029,54566,138,23,93,3,1376
2516,88435,62,16,61,1,136
3086,19464,84,10,94,1,871
5927,33561,152,6,30,1,235
61134,56876,198,2,75,2,2275
4528,90034,112,5,86,1,537
7998,26487,112,19,82,3,602
7227,40153,61,1,99,2,340
2509,80442,71,20,48,1,511
6769,60200,97,31,43,7,698
9015,35277,62,26,34,2,42
5405,67241,68,22,6,9,5
2449,32002,69,20,44,1,496
4542,29875,119,9,36,1,571
5047,81741,64,10,94,8,186
6575,84146,82,0,79,7,464
7276,75181,108,11,84,3,777
6743,83380,199,6,37,1,955
4777,14697,62,15,80,3,297
5046,29957,65,19,72,7,312
2944,73601,73,10,42,1,339
2227,27972,61,7,38,1,292
9075,37722,116,8,23,8,158
5907,84336,81,8,47,8,390
9028,76514,112,19,0,3,573
8044,71391,67,29,39,2,284
4268,43209,110,12,16,1,528
2710,56363,73,14,66,1,350
7582,64801,64,23,19,2,268
5376,30039,70,5,52,9,498
8441,50801,72,25,21,2,43
5744,68987,71,11,40,6,204
12275,52135,156,2,86,9,430
12285,66880,183,29,65,7,878
3126,34510,81,0,54,1,388
6366,44368,80,5,72,3,384
10232,22821,131,26,99,3,740
4603,66161,118,19,86,1,457
7492,31723,62,23,53,2,242
9206,24589,82,33,39,2,511
4429,20868,112,14,11,1,537
5610,77493,70,2,35,3,307
12128,29431,103,29,35,2,237
2361,18064,63,10,45,1,182
3985,77739,98,31,61,1,428
24127,14072,71,13,3,2,511
6990,87783,68,24,2,2,326
6919,41432,69,5,85,2,40
4990,77149,71,3,84,6,849
12298,17101,113,1,88,2,542
5747,23504,73,2,66,8,350
8886,87094,113,20,17,5,64
7752,41275,96,29,16,3,41
4739,35039,61,7,87,8,254
4770,12964,65,2,37,4,362
17712,67575,84,17,5,2,633
2306,58904,67,19,70,1,482
10972,24164,137,2,40,5,657
3199,46577,87,3,43,1,132
2750,93102,68,24,2,1,578
3096,21604,79,14,28,1,379
5049,61080,66,7,41,9,294
2647,37876,69,13,15,1,300
2514,43860,65,15,58,1,156
11606,45893,97,3,75,2,465
4768,51144,61,28,32,9,223
7399,24949,101,28,34,6,337
9463,69654,118,10,50,7,629
15251,63287,127,5,84,2,617
7780,87128,97,26,45,3,495
10193,21119,128,1,79,4,614
11638,25370,102,10,77,2,489
5885,79772,67,9,20,2,482
5827,30228,73,28,44,5,163
22800,68771,96,10,70,2,276
5970,25125,81,12,91,3,583
9661,10088,135,1,98,9,648
6751,42433,85,28,47,5,410
7326,62338,92,9,61,4,4
6767,39650,86,18,8,6,922
2491,36631,62,30,77,1,67
16301,19614,85,21,32,2,574
8098,51013,123,22,25,6,885
2516,48829,64,23,70,1,300
5605,21171,72,2,40,3,345
3690,59016,92,3,65,1,441
2787,62506,69,3,90,1,331
4920,81246,143,13,28,1,1029
3031,27435,76,9,6,1,455
5555,74015,72,12,61,6,471
3722,46859,109,25,61,1,523
8591,38984,73,27,38,2,350
3919,66676,97,0,40,1,558
2659,50046,87,4,4,1,420
5123,22338,67,9,37,9,307
16681,55907,104,23,64,2,499
7842,51001,99,13,49,3,291
4109,71304,62,0,23,8,446
3540,62863,88,18,52,1,94
3427,58840,86,25,44,1,73
8257,23815,73,4,47,2,424
4439,88613,111,25,59,1,359
44856,61675,123,35,54,2,482
2760,34717,70,7,33,1,336
2599,33947,66,10,48,1,192
9517,82165,87,35,76,2,417
8032,27658,68,4,75,2,160
3963,88701,99,7,4,1,171
11513,80242,64,26,72,2,307
2554,57302,70,19,27,1,336
7792,36776,65,21,21,2,240
2349,67444,70,21,5,1,716
4070,37435,105,3,22,1,314
4770,12964,65,2,37,4,362
5408,20472,139,34,61,1,667
7443,89285,93,17,11,4,243
5070,23840,64,32,66,7,307
2467,82027,67,0,14,1,222
8295,85478,103,29,15,6,224
3136,32025,89,15,83,1,640
6687,23772,83,19,25,4,100
2555,18241,65,17,44,1,151
4038,60762,110,17,59,1,528
4834,38713,66,31,69,6,316
2612,19003,71,29,21,1,34
6117,38474,87,16,83,8,1032
12263,83006,174,13,30,8,1724
4004,49454,107,21,65,1,513
3382,48423,91,13,77,1,436
2789,15514,74,20,24,1,355
5017,79814,62,18,50,3,31
2874,44084,72,21,87,1,243
3123,22862,101,1,83,1,960
4506,31666,66,0,10,9,316
5345,55571,135,4,46,1,904
3353,63398,83,29,46,1,292
12300,74586,103,14,19,2,494
2554,78334,72,32,14,1,405
5015,48567,130,12,15,1,624
3142,39326,86,17,35,1,412
10179,14290,271,20,40,1,1300
7408,76771,95,34,82,7,91
2665,14315,71,33,16,1,511
9061,42743,117,5,86,6,101
4571,91485,114,2,16,1,392
2972,28648,84,31,28,1,604
10552,77627,88,14,38,2,205
2661,29195,68,2,46,1,448
5824,73976,73,27,84,3,338
2506,92056,62,21,1,1,89
13178,80237,108,4,71,2,776
8509,30922,82,15,20,2,590
4747,42165,123,22,66,1,799
8355,23666,104,7,76,9,499
2862,76356,71,4,61,1,340
2546,20236,68,13,11,1,296
15956,61148,132,28,25,2,98
4179,60010,103,4,86,1,494
6102,71480,84,0,76,4,856
7305,83221,91,21,63,3,14
5357,12205,73,14,74,8,350
18453,72215,66,22,23,2,247
9549,55986,119,3,60,9,388
8478,13870,109,1,78,5,550
4425,80892,110,15,76,1,528
4804,23604,64,4,86,8,460
5525,73435,69,9,25,4,331
5192,23059,66,22,55,3,372
2615,57023,67,11,59,1,250
5706,83073,71,15,46,3,10
12157,57449,103,6,28,2,494
2347,78935,69,14,10,1,757
10722,54311,90,20,41,2,385
2734,30916,70,6,50,1,21
5264,24031,66,32,37,3,316
9983,72548,93,19,79,2,669
16350,30111,165,12,82,2,1452
15550,17449,71,16,55,2,268
3691,37202,93,30,86,1,322
19480,50809,83,29,58,2,290
8061,57293,102,19,87,7,347
2871,94178,72,26,25,1,226
5815,43481,80,17,96,5,384
7255,39786,91,4,91,9,365
6273,18577,86,21,76,6,412
9075,37722,116,8,23,8,158
3013,21353,80,7,21,1,576
2734,54010,69,5,89,1,331
2730,24967,69,6,38,1,331
4053,44661,101,2,1,1,436
5247,63940,77,0,84,3,554
6481,30689,81,23,51,5,467
4666,60466,117,14,3,1,784
16793,71272,238,29,90,4,1142
5403,72633,67,28,91,8,155
4582,49558,115,1,73,1,552
2771,50071,71,3,32,1,18
5316,45856,67,15,57,3,91
2769,39646,70,9,35,1,279
5597,37995,139,16,50,1,667
13897,24378,188,24,34,5,902
5015,48567,130,12,15,1,624
14024,81872,115,10,55,2,256
9095,16132,256,30,32,1,1943
5389,66429,136,35,93,1,57
8113,41701,68,16,74,2,64
45708,31264,198,9,54,2,825
2541,16591,71,12,37,1,511
7034,23158,63,31,46,2,302
6941,12920,96,21,18,3,460
4719,89642,121,11,20,1,86
33473,33190,106,18,95,2,508
14181,16951,72,15,91,2,345
5107,35625,65,26,56,3,288
12045,55805,99,14,30,2,425
8534,47325,107,0,92,6,64
32777,43814,115,3,22,2,552
4960,18174,66,8,16,9,395
5233,63259,65,25,14,7,316
41787,46587,119,34,74,2,571
4159,98947,62,1,64,3,446
8257,23815,73,4,47,2,424
4858,26480,63,13,17,3,378
25464,13663,97,1,66,2,465
2759,92296,69,4,65,1,331
41787,46587,119,34,74,2,571
4673,53219,117,24,36,1,561
6656,39834,83,26,65,3,398
5071,62258,65,14,17,5,117
3221,77882,79,17,36,1,379
3343,65495,92,11,77,1,529
2506,92056,62,21,1,1,89
26180,68189,82,12,17,2,343
8051,57664,100,21,48,7,344
16477,49825,70,14,27,2,336
8026,87421,99,21,6,6,475
4223,14170,109,9,10,1,523
4579,40160,118,25,48,1,566
2719,14030,72,11,3,1,345
2894,52674,73,8,49,1,166
7286,34112,69,4,83,2,669
3016,25630,86,8,63,1,412
5156,94411,73,4,72,7,807
2615,90104,71,22,45,1,340
5039,35984,128,7,68,1,275
2525,46084,67,9,37,1,146
6725,52514,95,15,8,5,684
2627,20943,69,0,86,1,240
4505,81079,111,11,5,1,134
3484,51337,88,3,70,1,72
6291,47618,94,2,61,6,676
4999,49414,68,8,82,6,159
9664,86054,239,12,11,1,115
2746,62302,70,7,7,1,504
3309,85632,82,23,4,1,7
4858,21685,127,0,70,1,609
3954,40175,102,34,78,1,154
2510,96340,64,24,1,1,437
4997,54827,64,17,88,3,132
26939,96866,113,26,88,2,377
11288,96399,70,1,28,2,307
6177,61040,79,12,24,4,20
2590,18746,68,21,93,1,326
9904,84015,66,1,73,2,475
7124,61233,89,27,50,7,181
5303,54258,76,18,63,3,395
7340,50165,62,15,63,2,129
2611,53904,67,1,17,1,321
2536,34653,64,18,72,1,307
10546,43922,88,26,88,2,108
8272,91245,69,16,50,2,19
2543,26691,65,7,51,1,312
3087,18558,80,17,23,1,384
5539,80727,68,15,43,4,98
4654,72376,67,33,19,4,577
5715,69451,72,3,93,5,230
3142,65941,86,17,35,1,412
2309,22567,69,6,12,1,496
5176,23636,65,19,10,3,81
7907,24666,101,32,51,3,151
5597,37995,139,16,50,1,667
5233,63259,65,25,14,7,316
21101,61347,106,27,66,2,604
2530,89451,63,11,2,1,61
19045,40459,61,2,61,2,439
6803,43758,171,16,29,1,1129
2674,56342,69,12,89,1,331
14917,47435,190,0,36,3,1368
13151,68562,108,29,52,2,228
5675,33257,72,15,14,4,345
8903,15142,116,7,5,3,792
5260,60101,66,34,74,3,1
5601,42360,71,29,62,8,99
3954,18375,103,8,50,1,535
13576,94153,111,2,5,2,4
9048,65226,119,9,8,3,571
23950,39335,201,0,11,2,964
3095,53588,77,16,71,1,369
2853,65099,73,8,19,1,350
5821,77563,143,35,58,1,545
11763,28045,99,7,99,2,475
5150,65629,64,21,28,3,89
2430,83140,61,25,70,1,179
3417,42526,86,12,71,1,287
7996,43657,66,21,74,2,316
7610,38086,96,17,10,7,243
2826,24224,71,7,64,1,511
6242,75680,78,27,6,6,136
2472,63860,62,26,81,1,208
35203,56343,295,11,69,2,1612
13115,20705,171,8,12,3,237
4871,72648,61,0,78,5,120
22658,23665,67,19,50,2,404
4059,11621,108,4,98,1,518
3207,24695,82,0,88,1,393
6965,25411,86,8,73,8,242
5109,21277,66,1,42,9,316
6293,45430,81,21,37,8,388
2906,72211,73,12,1,1,44
3742,46408,110,35,78,1,1272
17840,28668,62,32,59,2,385
5093,62475,71,27,55,3,150
24723,44685,69,1,41,2,331
8714,85240,118,22,64,4,566
2491,25965,65,23,27,1,329
8149,80077,71,28,76,2,340
16870,61063,85,21,4,2,262
9165,53792,115,1,8,8,552
2274,57908,64,12,25,1,621
4643,12261,125,26,80,1,600
7452,12195,101,29,35,7,670
11793,32214,100,5,6,2,296
3288,33619,97,0,17,1,1026
2796,77362,70,14,25,1,386
3307,79797,84,27,46,1,31
28685,48412,104,15,23,2,707
35850,17588,192,24,92,2,1382
4574,32906,115,18,17,1,552
15862,49429,66,14,16,2,475
5348,31572,70,14,95,3,292
5095,21460,137,19,30,1,452
5387,97316,67,13,18,7,309
8267,36881,104,5,25,3,499
4387,48015,110,24,57,1,528
3721,56469,101,16,59,1,862
5768,92509,71,16,43,8,109
2523,43072,63,35,15,1,302
6638,21586,167,31,44,1,801
10548,27458,131,18,62,3,730
2147,96528,62,32,45,1,297
3123,94896,101,1,83,1,960
4004,32464,107,21,65,1,513
3011,28467,86,18,41,1,569
2472,63860,62,26,81,1,208
7122,64571,89,34,91,6,452
5169,12430,73,22,13,4,350
3567,39330,102,28,11,1,660
3679,60804,92,16,50,1,213
7425,84302,62,19,63,2,76
